,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
3758,TARGET,"Algorithm Developer, Junior Scientist, Project Scientist. Designs and drives the creation of new standards and best practices in the use of statistical data...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=64644d85c0242c81&fccid=15f43d82dc901ff2,"Sunnyvale, CA",1 day ago,,,Lead Data Scientist
3759,上海药明康德新药开发有限公司,Experimental designs and data interpretations. Collaborate with other scientists in a team to support in vitro DDI studies. 硕士....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=3a23d89ab93a70b8&fccid=9ba568899dc84d82,New Jersey,1 day ago,8000.0,,In Vitro Drug-Drug Interaction Scientist
3760,Northrop Grumman,"Ability to define, collect, integrate, clean, and manage potentially large data sets from disparate data sources....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=9ed1eaad00fda1e9&fccid=11619ce0d3c2c733,"Cambridge, MA",1 day ago,,,"Spacecraft Controls Analyst 4 (Cambridge, Massachusetts)"
3761,Kerry,Scientist is responsible for overseeing all sensory projects within these technologies. Conducts all phases of sensory and consumer testing in order to generate...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a734364343caae5a&fccid=bb2d7b97873b908e,"Beloit, WI",1 day ago,,,"Sensory Research Scientist, Sweet"
3762,Kerry,Conducts all phases of sensory and consumer testing in order to generate sound sensory data which the project team can use to make better business decisions and...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=935249f0bb3a1886&fccid=bb2d7b97873b908e,"Beloit, WI",1 day ago,,,"Sensory Research Scientist, Beverage"
3763,Kerry,Conducts all phases of sensory and consumer testing in order to generate sound sensory data which the project team can use to make better business decisions and...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=6035349abb8179a0&fccid=bb2d7b97873b908e,"Beloit, WI",1 day ago,,,"Sensory Research Scientist, Savory"
3764,Cray,Import prospect data into marketing automation platform and Salesforce.com. 3 – 5 (plus) years experience in analysis roles producing actionable intelligence...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=fcdb331b3e2b3a58&fccid=e16c3f891931e766,"San Jose, CA",1 day ago,,,Marketing Operations Analyst
3765,Trulia,"As a member of the Data Warehousing & Analytics team, you'll collaborate closely with analysts, data warehouse engineers, product managers, data scientists, and...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=eea914c8a4a70116&fccid=fad5c76d827573ca,"San Francisco, CA",1 day ago,,,Analytics Implementation Specialist
3766,"Commonwealth Computer Research, Inc.","Are interested in data mining, analytics, and/or machine learning. Have experience with data visualization tools/toolkits - big plus if using d3....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a1dc86f1a320bc62&fccid=562e722cc583e618,"Charlottesville, VA 22901 (29 North area)",1 day ago,,,Frontend Software Engineer for UI/UX
3767,Altamira Technologies Corporation,Exploit and analyze remotely sensed data and produce intelligence products on OPIR data. Work with Principle Intelligence Analysts and senior scientists to...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=3266b6179dd5c9ac&fccid=03c5ff78e1523a44,"Dayton, OH",1 day ago,,,PIR Engineer/Scientist
3768,Northrop Grumman,"Ability to define, collect, integrate, clean, and manage potentially large data sets from disparate data sources....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=60245518708f9277&fccid=11619ce0d3c2c733,"Cambridge, MA",1 day ago,,,"Spacecraft Controls Analyst 5 (Cambridge, Massachusetts)"
3769,State Street,Working with data validation members and information technology professionals to determine model data integrity. About State Street....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=b004f651f45d1f4e&fccid=92f1ccd9154b0139,"New York, NY",1 day ago,,,"Quantitative Analyst, Assistant Vice President"
3770,GlaxoSmithKline,Multiparametric data analyses. We are recruiting for a highly motivated scientist who combines primary and/or stem cell expertise with a specific engineering...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a2a828964ca60b97&fccid=4e42ec53f4b93e02,"Collegeville, PA 19426",1 day ago,,,Investigator - Biology
