,company,description,est_salary,link,location,post_time,real_salary_lower,real_salary_upper,title
206,Panjiva,"Working with our data scientists to turn large scale messy and diverse unstructured data into structured, normalized data....",150000.0,http://www.indeed.com/rc/clk?jk=9999234344c80a19&fccid=ae04332349a994b0,"Cambridge, MA",24 days ago,,,Software Engineer - Data
207,Vungle,"Build out and manage a team of data analysts, machine learning engineers and data scientists. Understand the current data set and models and provide thought...",150000.0,http://www.indeed.com/rc/clk?jk=6497f733bf5c9dcf&fccid=2e984bae2d0d2fbe,"San Francisco, CA",25 days ago,,,"Director of Engineering, Data Science"
208,TotalTalent Search Group,"NGS data analysis:. Utilize statistical and machine learning techniques to aide in the interpretation of quantitative genomic data, including next generation...",150000.0,http://www.indeed.com/cmp/TotalTalent-Search-Group/jobs/Senior-Bioinformatic-Scientist-a974225ea6e89ffe?r=1&fccid=188372ce799e05ec,"Boston, MA",26 days ago,,,Sr. Bioinformatics Scientist (Human Genetics)
209,Penfield Search Partners,"Expertise in genetic, genomic and proteomics data analysis, including raw data processing and modeling of processed/normalized data, and familiarity with...",150000.0,http://www.indeed.com/rc/clk?jk=087d0caf07bd0525&fccid=5d807087f2960e47,"Cambridge, MA",24 days ago,150000.0,,"Manager, Exploratory Statistics"
210,Eli Lilly,"LEM Clinician-Scientists partner with clinical teams to identify, develop and implement strategies to fully characterize, minimize and monitor the impact of...",150000.0,http://www.indeed.com/rc/clk?jk=49eed51b45f0614d&fccid=ac8d156b339793e6,"Indianapolis, IN",26 days ago,,,"Clinical Pathologist, Laboratory for Experimental Medicine"
211,Genentech,Identify steps needed to generate relevant data supporting clinical development plans. As a strategic thinker and a broadly experienced physician scientist with...,150000.0,http://www.indeed.com/rc/clk?jk=01b2d3bd7140387c&fccid=2525cc4a9a704809,"South San Francisco, CA",25 days ago,,,"Senior Medical Director Oncology, Strategic Innovation PDO"
212,Jobspring Partners,"Software Engineer, Data science, data scientist, r, python, numpy, Java, J2EE, Scala, Hadoop, Map reduce, Hbase, Hive, Pig, Kafka, Zookeeper, Java, architecture...",150000.0,http://www.indeed.com/rc/clk?jk=91f7d6440e3024f6&fccid=4a2d2fbadf14d480,"San Francisco, CA",21 days ago,140000.0,170000.0,Software Architect - hands on Java
213,Ford Motor Company,"R&D Data Scientist – Deep Learning. The Analytics Research and Development team within Ford’s Global Data, Insight and Analytics (GDI&A) organization is looking...",150000.0,http://www.indeed.com/rc/clk?jk=0f61af3c8ba2b773&fccid=761c44c17d636bfe,"Dearborn, MI",30+ days ago,,,R&D Data Scientist – Deep Learning
214,Big Cloud,"Are you an experienced, talented and creative Data Scientist who likes solving complex problems? An exciting, innovative company in the heart of New York are...",150000.0,http://www.indeed.com/cmp/Big-Cloud-Recruitment/jobs/Data-Scientist-8a896621b381954f?r=1&fccid=a22e33158fb49b51,"New York, NY",28 days ago,150000.0,,Data Scientist
215,VivaKi,"Manage, motivate and lead a team of data scientists on the cutting edge of technology. Strong knowledge of Marketing/Media reporting/analytics and associated...",150000.0,http://www.indeed.com/rc/clk?jk=ba0509cce193ebba&fccid=070aae2f6ea69918,"New York, NY",30+ days ago,,,"VP, Data Consulting"
216,Samsung Research America,"The Samsung Computing Science Innovation Center is seeking a talented, highly motivated individual to join our learning solution platform (LSP) R&D team. In",150000.0,http://www.indeed.com/rc/clk?jk=ef9304d161fa2d2b&fccid=f98eb70205204fcf,"Mountain View, CA",28 days ago,,,Machine Learning/Deep Learning Research Engineer
217,Amazon Corporate LLC,"Strong grasp of machine learning, data mining and data analytics techniques. Communication and data presentation skills....",150000.0,http://www.indeed.com/rc/clk?jk=6ea400759612fd94&fccid=fe2d21eef233e94a,"Seattle, WA",28 days ago,,,Applied Scientist (Machine Learning)
218,Circle Internet Financial,Lead Risk Data Scientist. Guide and mentor data scientists and analysts in building models and conducting analysis....,150000.0,http://www.indeed.com/rc/clk?jk=e6879335ae65368a&fccid=4ec4864f0ad6d589,"San Francisco, CA",30+ days ago,,,Lead Risk Data Scientist - Boston/SF
219,Selby Jennings,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,150000.0,http://www.indeed.com/rc/clk?jk=4ae76e92782337e7&fccid=e46dcf251ad893cd,"Charlotte, NC",28 days ago,150000.0,,Quantitative Financial Analyst - VP
220,"Global Blood Therapeutics, Inc. (GBT)",To ensure data is accurately collected and analyzed in a cost effective fashion. Review and approve procedures for the design and implementation of clinical...,150000.0,http://www.indeed.com/rc/clk?jk=2add7110728ad629&fccid=764bcaf0d007c2ed,"South San Francisco, CA 94080",28 days ago,,,Medical Director - GBT440
221,thredUP Inc,Think big and help identify areas in which data and data science can drive our business’ success. ThredUP’s data science team is looking for a data scientist to...,150000.0,http://www.indeed.com/rc/clk?jk=69d1b7a82c160b58&fccid=84347597e41cdb6b,"San Francisco, CA 94104 (Financial District area)",30+ days ago,,,Data Scientist - Big Data Expert
222,Wayfair,"Data Scientist, Analytics. As the largest and fastest growing e-commerce technology company in the home space, Wayfair interacts with a large volume of product...",150000.0,http://www.indeed.com/rc/clk?jk=51036cf74c9749b9&fccid=95485c6456ed2114,"Boston, MA 02116 (South End area)",30+ days ago,,,"Data Scientist, Algorithms"
223,Viacom,"Data science, statistics, big data, research (survey and measurement based), data platform architecture, BI, data visualization, data automation....",150000.0,http://www.indeed.com/rc/clk?jk=c35b6e3e448f1a0b&fccid=ae0c894528aa6eee,"New York, NY",30+ days ago,,,DATA SCIENTIST - Music & Entertainment
224,Jobspring Partners,Senior Data Scientist Job Description. Looking for a Senior Data Scientist willing to pay up to $150K. Experience with data analytics....,150000.0,http://www.indeed.com/cmp/Jobspring-Partners/jobs/Senior-Data-Scientist-649d8502db9a80cf?r=1&fccid=4a2d2fbadf14d480,"Boston, MA 02116 (South End area)",30+ days ago,150000.0,,Senior Data Scientist
225,Shippo,"3+ years of hands-on experience developing a distributed data processing platform that includes data transportation and ingestion, data pipeline, and data...",150000.0,http://www.indeed.com/rc/clk?jk=78a74f73cc635fc0&fccid=6810315849d15ff0,"San Francisco, CA",30+ days ago,,,Data Architect
226,Averity,"Are you Senior Data Scientist looking to join a Multi-Billion Dollar Hedge Fund? Experience with Big Data Concepts (Hadoop, Spark)....",150000.0,http://www.indeed.com/rc/clk?jk=de3c7840ebde2ea2&fccid=39407476605079e0,"New York, NY",30+ days ago,150000.0,,Senior Data Scientist for Multi-Billion Dollar Hedge Fund
227,Averity,"Experience with Big Data Concepts (Hadoop, Spark). Are you Quantitative Research Analyst looking to join a Multi-Billion Dollar Hedge Fund?...",150000.0,http://www.indeed.com/rc/clk?jk=11f077a7f7df517c&fccid=39407476605079e0,"New York, NY",30+ days ago,150000.0,,Quantitative Research Analyst for Multi-Billion Dollar Hedge Fund
228,Vertex Pharmaceuticals,"Demonstrated evidence for the capacity to lead and manage, a group of professionals (physicians and/or scientists)....",150000.0,http://www.indeed.com/rc/clk?jk=8793040076337370&fccid=14b7875e481a1a70,"Boston, MA 02110 (Central area)",30+ days ago,,,"Global Medical Affairs Director, Cystic Fibrosis"
229,Spotify,"You are comfortable with the nuts and bolts of both data engineering and data science. Spotify has unique data, with rich information on the behavior of its 75+...",150000.0,http://www.indeed.com/rc/clk?jk=f204648aa38963d2&fccid=fe404d18bb9eef1e,"New York, NY 10011 (Chelsea area)",30+ days ago,,,Machine Learning Engineering Manager
230,Zillow,"Senior Data Scientist - Computer Vision & Deep Learning. Strong foundation in computer science, algorithms, data structures, machine learning and statistics....",150000.0,http://www.indeed.com/rc/clk?jk=b226e02b807af7cf&fccid=913e1b259c8d65e2,"Seattle, WA 98101 (Downtown area)",30+ days ago,,,"Senior Data Scientist, Computer Vision"
231,The Climate Corporation,Develop the vision and strategy for the data platform and model ecosystems to help support data scientists across the company....,150000.0,http://www.indeed.com/rc/clk?jk=344bea51e9977a8e&fccid=5527fa86119a4ea6,"San Francisco, CA",30+ days ago,,,Data Science Technical Product Manager
232,Hughes and Associates,"Oversee data analysis and modeling in support of dosage prediction and exposure. Serve as the lead, coach, and mentor to the scientists in support of...",150000.0,http://www.indeed.com/rc/clk?jk=70edaeb3082e4a95&fccid=8b87d09c748deb1c,Massachusetts,30+ days ago,,,Director/Senior Director and Head of DMPK
233,PowerToFly Presents,"Work with our data engineers, data scientists and analysts to ensure standardization:. Develop company-wide data policies and standards governing our full data...",150000.0,http://www.indeed.com/cmp/PowerToFly/jobs/Executive-Director-2fecd1938eb09f1c?r=1&fccid=4320934e3214d865,"New York, NY",30+ days ago,,,"Executive Director, Implementation and Data Governance"
234,Citi,"This role is for a senior technology development manager managing a global team of Big Data developers, data modelers, data analysts and data scientists in a...",150000.0,http://www.indeed.com/rc/clk?jk=5c4c33b2f945f703&fccid=5bcd1ef0a7f4fb99,United States,30+ days ago,,,Application Development Group Manager
